Local Education Agency,Total Offenses,Attendance,Dangerous Substances,Weapons,Attacks/Threats/Fighting,Arson/Fire/Explosives,Sex Offenses,Disrespect/Disruption,Other
State Total,"77,612","1,116","7,358","2,422","41,110",625,"1,362","20,743","2,876"
Allegany,633,0,83,10,283,7,12,227,11
Anne Arundel,"10,050",65,736,229,"5,640",97,254,"2,788",241
Baltimore City,"7,727",41,526,277,"4,703",99,119,"1,689",273
Baltimore,"13,051",132,"1,211",466,"5,908",51,207,"4,567",509
Calvert,"1,150",35,148,36,522,1,21,356,31
Caroline,"1,034",28,109,9,533,13,12,294,36
Carroll,"1,437",0,201,18,524,2,27,621,44
Cecil,"2,918",0,212,37,"1,155",3,54,"1,374",83
Charles,"3,638",3,206,88,"1,978",31,23,"1,215",94
Dorchester,"1,724",14,77,12,923,9,12,628,49
Frederick,"3,056",31,297,58,"1,561",13,60,917,119
Garrett,89,0,19,2,44,0,1,21,2
Harford,"3,744",1,318,75,"1,878",20,24,"1,356",72
Howard,"2,342",18,273,101,"1,424",14,22,425,65
Kent,634,33,51,13,161,4,4,335,33
Montgomery,"3,417",86,547,190,"1,859",31,93,496,115
Prince George's,"10,098",0,"1,336",618,"6,935",135,290,0,784
Queen Anne's,476,27,49,4,242,2,11,122,19
SEED School,105,0,12,4,55,2,7,20,5
Saint Mary's,"1,901",0,162,26,"1,029",16,24,590,54
Somerset,"1,350",18,81,14,485,7,7,707,31
Talbot,344,0,55,17,193,8,0,61,10
Washington,"3,485",516,383,66,"1,417",23,33,895,152
Wicomico,"2,732",0,211,43,"1,480",33,38,900,27
Worcester,477,68,55,9,178,4,7,139,17
