Local Education Agency,Total Offenses,Attendance,Dangerous Substances,Weapons,Attacks/Threats/Fighting,Arson/Fire/Explosives,Sex Offenses,Disrespect/Disruption,Other
State Total,"63,935",968,"4,730","2,078","34,589",501,"1,316","17,246","2,507"
Allegany,502,1,42,14,276,4,18,130,17
Anne Arundel,"3,362",34,188,97,"1,959",44,80,873,87
Baltimore City,"6,222",12,304,232,"3,934",101,106,"1,346",187
Baltimore,"12,494",188,819,408,"5,654",72,254,"4,682",417
Calvert,"1,151",18,102,28,559,4,12,379,49
Caroline,779,18,71,7,364,1,26,251,41
Carroll,"1,397",2,163,30,555,2,25,571,49
Cecil,"2,535",0,142,27,"1,138",2,42,"1,114",70
Charles,"2,552",11,115,70,"1,450",19,26,810,51
Dorchester,"1,701",15,82,17,848,10,30,646,53
Frederick,"2,818",21,246,44,"1,410",10,64,907,116
Garrett,55,0,3,6,26,0,0,17,3
Harford,"3,576",0,210,94,"1,739",10,49,"1,371",103
Howard,"2,106",6,206,71,"1,380",14,43,330,56
Kent,670,71,32,14,170,2,8,341,32
Montgomery,"2,701",76,313,131,"1,617",21,90,343,110
Prince George's,"9,291",0,791,619,"6,675",133,294,0,779
Queen Anne's,519,22,35,4,246,2,5,187,18
SEED School,98,0,11,4,50,4,6,22,1
Saint Mary's,"1,573",0,134,23,943,3,30,408,32
Somerset,"1,215",48,48,22,405,4,8,662,18
Talbot,381,0,23,10,230,6,11,93,8
Washington,"3,129",383,457,54,"1,231",10,37,818,139
Wicomico,"2,683",0,139,47,"1,572",22,42,805,56
Worcester,425,42,54,5,158,1,10,140,15
