Local Education Agency,Total Offenses,Attendance,Dangerous Substances,Weapons,Attacks/Threats/Fighting,Arson/Fire/Explosives,Sex Offenses,Disrespect/Disruption,Other
State Total,"74,414",401,"6,521","1,774","41,285",454,"1,171","20,091","2,717"
Allegany,743,0,75,13,333,5,22,284,11
Anne Arundel,"9,405",20,476,168,"5,407",41,191,"2,883",219
Baltimore City,"8,484",69,599,203,"5,229",62,99,"1,952",271
Baltimore,"13,476",107,"1,203",402,"6,504",97,170,"4,499",494
Calvert,"1,342",42,145,24,558,3,14,514,42
Caroline,937,18,93,7,439,4,6,341,29
Carroll,"1,113",0,157,16,484,1,12,415,28
Cecil,"2,610",0,253,29,967,4,31,"1,262",64
Charles,"4,119",1,232,67,"2,127",27,28,"1,506",131
Dorchester,"1,547",0,103,12,856,3,20,490,63
Frederick,"2,690",0,270,34,"1,338",3,48,911,86
Garrett,104,0,27,1,56,0,1,19,0
Harford,"3,561",0,331,80,"1,701",15,39,"1,339",56
Howard,"1,944",0,133,56,"1,473",14,27,190,51
Kent,517,58,34,6,126,2,3,278,10
Montgomery,"3,082",32,380,118,"2,055",31,77,278,111
Prince George's,"10,086",0,"1,120",373,"7,418",78,294,0,803
Queen Anne's,464,22,55,5,191,7,6,163,15
SEED School,93,0,20,2,48,1,3,18,1
Saint Mary's,"1,708",0,155,27,898,3,14,531,80
Somerset,"1,367",1,103,20,542,8,9,645,39
Talbot,357,0,49,11,194,3,2,88,10
Washington,"1,769",9,161,59,"1,038",19,23,429,31
Wicomico,"2,592",0,283,32,"1,196",20,28,972,61
Worcester,304,22,64,9,107,3,4,84,11
